Abbrev	corrected	Genus	Spec	Family	Order	Class	Phylum	Name	hymenia	morf	Lifestyle	originalTrait	Clade	dataset	0
Leugo1_1	ballistospory	Leucoagaricus	gongylophorus	Agaricaceae	Agaricales	Agaricomycetes	Basidiomycota	Leucoagaricus gongylophorus Ac12	lamellate	other		sec-non-ball	3	JGI202304	3
Agabi_varbisH97_2	ballistospory	Agaricus	bisporus	Agaricaceae	Agaricales	Agaricomycetes	Basidiomycota	Agaricus bisporus	lamellate	pileostipitate	Saprotroph	ballistospory	0	PL109	4
Macfu1	ballistospory	Macrolepiota	fuliginosa	Agaricaceae	Agaricales	Agaricomycetes	Basidiomycota	Macrolepiota fuliginosa MF-IS2 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	5
Amamu1	ballistospory	Amanita	muscaria	Amanitaceae	Agaricales	Agaricomycetes	Basidiomycota	Amanita muscaria Koide v1.0	lamellate	pileostipitate	Mycorrhizal	ballistospory	0	PL109	6
Amath1	ballistospory	Amanita	thiersii	Amanitaceae	Agaricales	Agaricomycetes	Basidiomycota	Amanita thiersii Skay4041 v1.0	lamellate	pileostipitate	Saprotroph	ballistospory	0	PL109	7
Corgl3	ballistospory	Phlegmacium	glaucopus	Cortinariaceae	Agaricales	Agaricomycetes	Basidiomycota	Phlegmacium glaucopus AT 2004 276 v2.0	lamellate	pileostipitate		ballistospory	0	JGI202304	8
Crafun1	ballistospory	Crassisporium	funariophilum	Crassisporiaceae	Agaricales	Agaricomycetes	Basidiomycota	Crassisporium funariophilum CBS 144457 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	9
Gymjun1	ballistospory	Gymnopilus	junonius	Hymenogastraceae	Agaricales	Agaricomycetes	Basidiomycota	Gymnopilus junonius AH 44721 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	10
Hebcy2	ballistospory	Hebeloma	cylindrosporum	Hymenogastraceae	Agaricales	Agaricomycetes	Basidiomycota	Hebeloma cylindrosporum h7 v2.0	lamellate	pileostipitate		ballistospory	0	JGI202304	11
Hypma1	ballistospory	Hypsizygus	marmoreus	Lyophyllaceae	Agaricales	Agaricomycetes	Basidiomycota	Hypsizygus marmoreus 51987-8	lamellate	pileostipitate	litter decomposer	ballistospory	0	JGI202304	12
Lyoat1	ballistospory	Lyophyllum	atratum	Lyophyllaceae	Agaricales	Agaricomycetes	Basidiomycota	Lyophyllum atratum CBS 144462 v1.0	lamellate	pileostipitate	litter decomposer	ballistospory	0	JGI202304	13
TerJ132_1	ballistospory	Termitomyces	sp.	Lyophyllaceae	Agaricales	Agaricomycetes	Basidiomycota	Termitomyces sp. J132	lamellate	pileostipitate	litter decomposer	ballistospory	0	JGI202304	14
Marfi1	ballistospory	Marasmius	fiardii	Marasmiaceae	Agaricales	Agaricomycetes	Basidiomycota	Marasmius fiardii PR-910 v1.0	lamellate	pileostipitate	litter decomposer	ballistospory	0	JGI202304	15
MroMCA2997_1	ballistospory	Moniliophthora	roreri	Marasmiaceae	Agaricales	Agaricomycetes	Basidiomycota	Moniliophthora roreri MCA 2997	lamellate	pileostipitate	litter decomposer	ballistospory	0	JGI202304	16
Mycgal1	ballistospory	Mycena	galopus	Mycenaceae	Agaricales	Agaricomycetes	Basidiomycota	Mycena galopus ATCC-62051 v1.0	lamellate	pileostipitate	litter decomposer	ballistospory	0	JGI202304	17
Mk	ballistospory	Mycena	kentingensis	Mycenaceae	Agaricales	Agaricomycetes	Basidiomycota	Mycena kentingensis	lamellate	pileostipitate	litter decomposer	ballistospory	0	PL109	18
Lepnud1	ballistospory	Lepista	nuda	NA	Agaricales	Agaricomycetes	Basidiomycota	Lepista nuda CBS 247.69 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	19
Gyman1	ballistospory	Gymnopus	androsaceus	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Gymnopus androsaceus JB14 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	20
Lentinedodes1	ballistospory	Lentinula	edodes	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Lentinula edodes W1-26 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	21
Ompol1	ballistospory	Omphalotus	olearius	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Omphalotus olearius	lamellate	pileostipitate		ballistospory	0	JGI202304	22
Rhobut1_1	ballistospory	Rhodocollybia	butyracea	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Rhodocollybia butyracea AH 40177 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	23
Armcep1	ballistospory	Armillaria	cepistipes	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Armillaria cepistipes B5	lamellate	pileostipitate		ballistospory	0	JGI202304	24
Armfum1	ballistospory	Armillaria	fumosa	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Armillaria fumosa CBS 122221 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	25
Armga1	ballistospory	Armillaria	gallica	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Armillaria gallica 21-2 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	26
Oudmuc1	ballistospory	Oudemansiella	mucida	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Oudemansiella mucida CBS 558.79 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	27
