Abbrev,corrected,Genus,Spec,Family,Order,Class,Phylum,Name,hymenia,Morphology,Lifestyle,originalTrait,Clade,dataset,X0,Number_of_copy
Fishe1,ballistospory,Fistulina,hepatica,Fistulinaceae,Agaricales,Agaricomycetes,Basidiomycota,Fistulina hepatica v1.0,poroid,Cyphelloid,brown rot,ballistospory,0,PL109,126,8
Agabi_varbisH97_2,ballistospory,Agaricus,bisporus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota,Agaricus bisporus,lamellate,pileostipitate,litter decomposer,ballistospory,0,PL109,4,4
Agrped1,ballistospory,Agrocybe,pediades,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Agrocybe pediades AH 40210 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,41,5
Amath1,ballistospory,Amanita,thiersii,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Amanita thiersii Skay4041 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,PL109,7,6
Copang1,ballistospory,Coprinellus,angulatus,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Coprinellus angulatus CBS 144469 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,35,8
Copci_AmutBmut1,ballistospory,Coprinopsis,cinerea,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Coprinopsis cinerea AmutBmut pab1-1 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,37,8
CopciAB,ballistospory,Coprinopsis,cinerea,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Coprinopsis cinerea AmutBmut pab1-1 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,new,38,8
Copmar1,ballistospory,Coprinopsis,marcescibilis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Coprinopsis marcescibilis CBS121175 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,39,4
Copmic2,ballistospory,Coprinellus,micaceus,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Coprinellus micaceus FP101781 v2.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,36,7
Copph3,ballistospory,Coprinopsis,sp.,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Coprinopsis sp. MPI-PUGE-AT-0042 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,40,5
Crula1,sec-non-ball,Crucibulum,laeve,NA,Agaricales,Agaricomycetes,Basidiomycota,Crucibulum laeve CBS 166.37 v1.0,peridiolum,Gasteroid,litter decomposer,sec-non-ball,1,JGI202304,171,6
Gyman1,ballistospory,Gymnopus,androsaceus,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota,Gymnopus androsaceus JB14 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,20,8
Hypma1,ballistospory,Hypsizygus,marmoreus,Lyophyllaceae,Agaricales,Agaricomycetes,Basidiomycota,Hypsizygus marmoreus 51987-8,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,12,5
Lepnud1,ballistospory,Lepista,nuda,NA,Agaricales,Agaricomycetes,Basidiomycota,Lepista nuda CBS 247.69 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,19,12
Leugo1_1,ballistospory,Leucoagaricus,gongylophorus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota,Leucoagaricus gongylophorus Ac12,lamellate,pileostipitate,litter decomposer,sec-non-ball,3,JGI202304,3,0
Lyoat1,ballistospory,Lyophyllum,atratum,Lyophyllaceae,Agaricales,Agaricomycetes,Basidiomycota,Lyophyllum atratum CBS 144462 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,13,6
Macfu1,ballistospory,Macrolepiota,fuliginosa,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota,Macrolepiota fuliginosa MF-IS2 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,5,6
Marfi1,ballistospory,Marasmius,fiardii,Marasmiaceae,Agaricales,Agaricomycetes,Basidiomycota,Marasmius fiardii PR-910 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,15,9
